Textbox_UWAGA2,Textbox_PARAMETRY
RETAIL PRICES OF SELECTED CONSUMER NON-FOODSTUFFS AND SERVICES - MONTHLY [ZL],"Year: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023
Month: I, II, III, IV, V, VI, VII, VIII, IX, X, XI, XII
Territorial unit: Poland"

Textbox2,KOD_TOWARY_NZYWN,KOD_ROKU,WARTOSC_OST_blok9
Specification,Skirting fabric – per m,2010 I,24.67
Specification,Skirting fabric – per m,2010 II,24.69
Specification,Skirting fabric – per m,2010 III,24.73
Specification,Skirting fabric – per m,2010 IV,24.67
Specification,Skirting fabric – per m,2010 V,24.64
Specification,Skirting fabric – per m,2010 VI,24.61
Specification,Skirting fabric – per m,2010 VII,24.63
Specification,Skirting fabric – per m,2010 VIII,24.86
Specification,Skirting fabric – per m,2010 IX,24.76
Specification,Skirting fabric – per m,2010 X,24.61
Specification,Skirting fabric – per m,2010 XI,24.65
Specification,Skirting fabric – per m,2010 XII,24.65
Specification,Skirting fabric – per m,2011 I,25.05
Specification,Skirting fabric – per m,2011 II,25.13
Specification,Skirting fabric – per m,2011 III,25.23
Specification,Skirting fabric – per m,2011 IV,25.50
Specification,Skirting fabric – per m,2011 V,25.63
Specification,Skirting fabric – per m,2011 VI,25.69
Specification,Skirting fabric – per m,2011 VII,25.87
Specification,Skirting fabric – per m,2011 VIII,26.42
Specification,Skirting fabric – per m,2011 IX,26.30
Specification,Skirting fabric – per m,2011 X,26.37
Specification,Skirting fabric – per m,2011 XI,26.34
Specification,Skirting fabric – per m,2011 XII,26.35
Specification,Skirting fabric – per m,2012 I,26.35
Specification,Skirting fabric – per m,2012 II,26.45
Specification,Skirting fabric – per m,2012 III,26.47
Specification,Skirting fabric – per m,2012 IV,26.49
Specification,Skirting fabric – per m,2012 V,26.63
Specification,Skirting fabric – per m,2012 VI,26.77
Specification,Skirting fabric – per m,2012 VII,26.78
Specification,Skirting fabric – per m,2012 VIII,26.72
Specification,Skirting fabric – per m,2012 IX,26.64
Specification,Skirting fabric – per m,2012 X,26.65
Specification,Skirting fabric – per m,2012 XI,26.66
Specification,Skirting fabric – per m,2012 XII,26.75
Specification,Skirting fabric – per m,2013 I,26.81
Specification,Skirting fabric – per m,2013 II,26.67
Specification,Skirting fabric – per m,2013 III,26.76
Specification,Skirting fabric – per m,2013 IV,26.84
Specification,Skirting fabric – per m,2013 V,27.00
Specification,Skirting fabric – per m,2013 VI,27.05
Specification,Skirting fabric – per m,2013 VII,27.10
Specification,Skirting fabric – per m,2013 VIII,27.13
Specification,Skirting fabric – per m,2013 IX,27.62
Specification,Skirting fabric – per m,2013 X,27.55
Specification,Skirting fabric – per m,2013 XI,27.34
Specification,Skirting fabric – per m,2013 XII,27.40
Specification,Skirting fabric – per m,2014 I,27.45
Specification,Skirting fabric – per m,2014 II,27.49
Specification,Skirting fabric – per m,2014 III,27.53
Specification,Skirting fabric – per m,2014 IV,27.56
Specification,Skirting fabric – per m,2014 V,27.58
Specification,Skirting fabric – per m,2014 VI,27.63
Specification,Skirting fabric – per m,2014 VII,27.66
Specification,Skirting fabric – per m,2014 VIII,27.76
Specification,Skirting fabric – per m,2014 IX,28.00
Specification,Skirting fabric – per m,2014 X,28.05
Specification,Skirting fabric – per m,2014 XI,28.07
Specification,Skirting fabric – per m,2014 XII,28.14
Specification,Skirting fabric – per m,2015 I,28.11
Specification,Skirting fabric – per m,2015 II,28.15
Specification,Skirting fabric – per m,2015 III,28.16
Specification,Skirting fabric – per m,2015 IV,28.22
Specification,Skirting fabric – per m,2015 V,28.36
Specification,Skirting fabric – per m,2015 VI,28.53
Specification,Skirting fabric – per m,2015 VII,28.62
Specification,Skirting fabric – per m,2015 VIII,28.68
Specification,Skirting fabric – per m,2015 IX,28.74
Specification,Skirting fabric – per m,2015 X,28.78
Specification,Skirting fabric – per m,2015 XI,28.88
Specification,Skirting fabric – per m,2015 XII,28.91
Specification,Skirting fabric – per m,2016 I,28.77
Specification,Skirting fabric – per m,2016 II,29.05
Specification,Skirting fabric – per m,2016 III,29.11
Specification,Skirting fabric – per m,2016 IV,29.39
Specification,Skirting fabric – per m,2016 V,29.60
Specification,Skirting fabric – per m,2016 VI,29.69
Specification,Skirting fabric – per m,2016 VII,29.72
Specification,Skirting fabric – per m,2016 VIII,29.80
Specification,Skirting fabric – per m,2016 IX,29.81
Specification,Skirting fabric – per m,2016 X,29.83
Specification,Skirting fabric – per m,2016 XI,29.95
Specification,Skirting fabric – per m,2016 XII,30.01
Specification,Skirting fabric – per m,2017 I,30.06
Specification,Skirting fabric – per m,2017 II,30.14
Specification,Skirting fabric – per m,2017 III,30.20
Specification,Skirting fabric – per m,2017 IV,30.23
Specification,Skirting fabric – per m,2017 V,30.33
Specification,Skirting fabric – per m,2017 VI,30.33
Specification,Skirting fabric – per m,2017 VII,30.36
Specification,Skirting fabric – per m,2017 VIII,30.31
Specification,Skirting fabric – per m,2017 IX,30.24
Specification,Skirting fabric – per m,2017 X,30.39
Specification,Skirting fabric – per m,2017 XI,30.51
Specification,Skirting fabric – per m,2017 XII,30.45
Specification,Skirting fabric – per m,2018 I,30.46
Specification,Skirting fabric – per m,2018 II,30.49
Specification,Skirting fabric – per m,2018 III,30.72
Specification,Skirting fabric – per m,2018 IV,30.26
Specification,Skirting fabric – per m,2018 V,30.27
Specification,Skirting fabric – per m,2018 VI,30.41
Specification,Skirting fabric – per m,2018 VII,30.41
Specification,Skirting fabric – per m,2018 VIII,30.40
Specification,Skirting fabric – per m,2018 IX,30.50
Specification,Skirting fabric – per m,2018 X,30.66
Specification,Skirting fabric – per m,2018 XI,30.85
Specification,Skirting fabric – per m,2018 XII,30.71
Specification,Skirting fabric – per m,2019 I,30.75
Specification,Skirting fabric – per m,2019 II,30.76
Specification,Skirting fabric – per m,2019 III,30.92
Specification,Skirting fabric – per m,2019 IV,31.03
Specification,Skirting fabric – per m,2019 V,31.20
Specification,Skirting fabric – per m,2019 VI,31.25
Specification,Skirting fabric – per m,2019 VII,31.22
Specification,Skirting fabric – per m,2019 VIII,31.27
Specification,Skirting fabric – per m,2019 IX,31.31
Specification,Skirting fabric – per m,2019 X,31.34
Specification,Skirting fabric – per m,2019 XI,31.37
Specification,Skirting fabric – per m,2019 XII,31.41
Specification,Skirting fabric – per m,2020 I,31.58
Specification,Skirting fabric – per m,2020 II,31.67
Specification,Skirting fabric – per m,2020 III,31.77
Specification,Skirting fabric – per m,2020 IV,31.74
Specification,Skirting fabric – per m,2020 V,31.77
Specification,Skirting fabric – per m,2020 VI,31.87
Specification,Skirting fabric – per m,2020 VII,31.99
Specification,Skirting fabric – per m,2020 VIII,32.00
Specification,Skirting fabric – per m,2020 IX,32.19
Specification,Skirting fabric – per m,2020 X,32.30
Specification,Skirting fabric – per m,2020 XI,32.34
Specification,Skirting fabric – per m,2020 XII,32.36
Specification,Skirting fabric – per m,2021 I,32.37
Specification,Skirting fabric – per m,2021 II,32.41
Specification,Skirting fabric – per m,2021 III,32.44
Specification,Skirting fabric – per m,2021 IV,32.54
Specification,Skirting fabric – per m,2021 V,32.60
Specification,Skirting fabric – per m,2021 VI,32.79
Specification,Skirting fabric – per m,2021 VII,32.80
Specification,Skirting fabric – per m,2021 VIII,32.79
Specification,Skirting fabric – per m,2021 IX,33.17
Specification,Skirting fabric – per m,2021 X,33.53
Specification,Skirting fabric – per m,2021 XI,33.69
Specification,Skirting fabric – per m,2021 XII,33.83
Specification,Skirting fabric – per m,2022 I,33.98
Specification,Skirting fabric – per m,2022 II,34.23
Specification,Skirting fabric – per m,2022 III,34.52
Specification,Skirting fabric – per m,2022 IV,34.51
Specification,Skirting fabric – per m,2022 V,34.85
Specification,Skirting fabric – per m,2022 VI,35.06
Specification,Skirting fabric – per m,2022 VII,35.13
Specification,Skirting fabric – per m,2022 VIII,35.43
Specification,Skirting fabric – per m,2022 IX,35.88
Specification,Skirting fabric – per m,2022 X,36.05
Specification,Skirting fabric – per m,2022 XI,36.52
Specification,Skirting fabric – per m,2022 XII,36.85
Specification,Skirting fabric – per m,2023 I,37.19
Specification,Skirting fabric – per m,2023 II,37.45
Specification,Skirting fabric – per m,2023 III,37.71
Specification,"Men’s suit, fabrics of wool – per set",2010 I,468.49
Specification,"Men’s suit, fabrics of wool – per set",2010 II,465.49
Specification,"Men’s suit, fabrics of wool – per set",2010 III,469.72
Specification,"Men’s suit, fabrics of wool – per set",2010 IV,469.97
Specification,"Men’s suit, fabrics of wool – per set",2010 V,471.71
Specification,"Men’s suit, fabrics of wool – per set",2010 VI,470.40
Specification,"Men’s suit, fabrics of wool – per set",2010 VII,472.04
Specification,"Men’s suit, fabrics of wool – per set",2010 VIII,467.08
Specification,"Men’s suit, fabrics of wool – per set",2010 IX,470.01
Specification,"Men’s suit, fabrics of wool – per set",2010 X,468.69
Specification,"Men’s suit, fabrics of wool – per set",2010 XI,466.75
Specification,"Men’s suit, fabrics of wool – per set",2010 XII,467.17
Specification,"Men’s suit, fabrics of wool – per set",2011 I,464.78
Specification,"Men’s suit, fabrics of wool – per set",2011 II,467.13
Specification,"Men’s suit, fabrics of wool – per set",2011 III,470.85
Specification,"Men’s suit, fabrics of wool – per set",2011 IV,473.65
Specification,"Men’s suit, fabrics of wool – per set",2011 V,474.40
Specification,"Men’s suit, fabrics of wool – per set",2011 VI,469.47
Specification,"Men’s suit, fabrics of wool – per set",2011 VII,477.64
Specification,"Men’s suit, fabrics of wool – per set",2011 VIII,478.52
Specification,"Men’s suit, fabrics of wool – per set",2011 IX,479.66
Specification,"Men’s suit, fabrics of wool – per set",2011 X,484.12
Specification,"Men’s suit, fabrics of wool – per set",2011 XI,484.17
Specification,"Men’s suit, fabrics of wool – per set",2011 XII,484.87
Specification,"Men’s suit, fabrics of wool – per set",2012 I,478.39
Specification,"Men’s suit, fabrics of wool – per set",2012 II,478.99
Specification,"Men’s suit, fabrics of wool – per set",2012 III,478.12
Specification,"Men’s suit, fabrics of wool – per set",2012 IV,478.40
Specification,"Men’s suit, fabrics of wool – per set",2012 V,481.41
Specification,"Men’s suit, fabrics of wool – per set",2012 VI,477.79
Specification,"Men’s suit, fabrics of wool – per set",2012 VII,473.36
Specification,"Men’s suit, fabrics of wool – per set",2012 VIII,470.70
Specification,"Men’s suit, fabrics of wool – per set",2012 IX,479.62
Specification,"Men’s suit, fabrics of wool – per set",2012 X,476.41
Specification,"Men’s suit, fabrics of wool – per set",2012 XI,476.28
Specification,"Men’s suit, fabrics of wool – per set",2012 XII,476.09
Specification,"Men’s suit, fabrics of wool – per set",2013 I,472.45
Specification,"Men’s suit, fabrics of wool – per set",2013 II,476.02
Specification,"Men’s suit, fabrics of wool – per set",2013 III,471.70
Specification,"Men’s suit, fabrics of wool – per set",2013 IV,471.74
Specification,"Men’s suit, fabrics of wool – per set",2013 V,470.98
Specification,"Men’s suit, fabrics of wool – per set",2013 VI,470.58
Specification,"Men’s suit, fabrics of wool – per set",2013 VII,466.11
Specification,"Men’s suit, fabrics of wool – per set",2013 VIII,467.77
Specification,"Men’s suit, fabrics of wool – per set",2013 IX,476.24
Specification,"Men’s suit, fabrics of wool – per set",2013 X,478.23
Specification,"Men’s suit, fabrics of wool – per set",2013 XI,480.56
Specification,"Men’s suit, fabrics of wool – per set",2013 XII,479.09
Specification,"Men’s suit, fabrics of wool – per set",2014 I,478.53
Specification,"Men’s suit, fabrics of wool – per set",2014 II,476.11
Specification,"Men’s suit, fabrics of wool – per set",2014 III,476.69
Specification,"Men’s suit, fabrics of wool – per set",2014 IV,478.92
Specification,"Men’s suit, fabrics of wool – per set",2014 V,481.31
Specification,"Men’s suit, fabrics of wool – per set",2014 VI,474.66
Specification,"Men’s suit, fabrics of wool – per set",2014 VII,470.12
Specification,"Men’s suit, fabrics of wool – per set",2014 VIII,469.57
Specification,"Men’s suit, fabrics of wool – per set",2014 IX,474.93
Specification,"Men’s suit, fabrics of wool – per set",2014 X,475.18
Specification,"Men’s suit, fabrics of wool – per set",2014 XI,473.02
Specification,"Men’s suit, fabrics of wool – per set",2014 XII,473.67
Specification,"Men’s suit, fabrics of wool – per set",2015 I,681.88
Specification,"Men’s suit, fabrics of wool – per set",2015 II,682.03
Specification,"Men’s suit, fabrics of wool – per set",2015 III,678.87
Specification,"Men’s suit, fabrics of wool – per set",2015 IV,679.17
Specification,"Men’s suit, fabrics of wool – per set",2015 V,687.03
Specification,"Men’s suit, fabrics of wool – per set",2015 VI,679.69
Specification,"Men’s suit, fabrics of wool – per set",2015 VII,669.84
Specification,"Men’s suit, fabrics of wool – per set",2015 VIII,657.00
Specification,"Men’s suit, fabrics of wool – per set",2015 IX,653.68
Specification,"Men’s suit, fabrics of wool – per set",2015 X,658.16
Specification,"Men’s suit, fabrics of wool – per set",2015 XI,654.86
Specification,"Men’s suit, fabrics of wool – per set",2015 XII,662.30
Specification,"Men’s suit, fabrics of wool – per set",2016 I,650.93
Specification,"Men’s suit, fabrics of wool – per set",2016 II,645.20
Specification,"Men’s suit, fabrics of wool – per set",2016 III,640.40
Specification,"Men’s suit, fabrics of wool – per set",2016 IV,644.09
Specification,"Men’s suit, fabrics of wool – per set",2016 V,648.80
Specification,"Men’s suit, fabrics of wool – per set",2016 VI,649.15
Specification,"Men’s suit, fabrics of wool – per set",2016 VII,639.96
Specification,"Men’s suit, fabrics of wool – per set",2016 VIII,640.47
Specification,"Men’s suit, fabrics of wool – per set",2016 IX,643.29
Specification,"Men’s suit, fabrics of wool – per set",2016 X,650.20
Specification,"Men’s suit, fabrics of wool – per set",2016 XI,660.13
Specification,"Men’s suit, fabrics of wool – per set",2016 XII,658.97
Specification,"Men’s suit, fabrics of wool – per set",2017 I,644.10
Specification,"Men’s suit, fabrics of wool – per set",2017 II,652.36
Specification,"Men’s suit, fabrics of wool – per set",2017 III,667.77
Specification,"Men’s suit, fabrics of wool – per set",2017 IV,664.65
Specification,"Men’s suit, fabrics of wool – per set",2017 V,667.25
Specification,"Men’s suit, fabrics of wool – per set",2017 VI,663.08
Specification,"Men’s suit, fabrics of wool – per set",2017 VII,655.50
Specification,"Men’s suit, fabrics of wool – per set",2017 VIII,650.38
Specification,"Men’s suit, fabrics of wool – per set",2017 IX,664.71
Specification,"Men’s suit, fabrics of wool – per set",2017 X,665.15
Specification,"Men’s suit, fabrics of wool – per set",2017 XI,668.68
Specification,"Men’s suit, fabrics of wool – per set",2017 XII,665.00
Specification,"Men’s suit, fabrics of wool – per set",2018 I,600.27
Specification,"Men’s suit, fabrics of wool – per set",2018 II,596.85
Specification,"Men’s suit, fabrics of wool – per set",2018 III,595.77
Specification,"Men’s suit, fabrics of wool – per set",2018 IV,603.79
Specification,"Men’s suit, fabrics of wool – per set",2018 V,613.33
Specification,"Men’s suit, fabrics of wool – per set",2018 VI,603.01
Specification,"Men’s suit, fabrics of wool – per set",2018 VII,592.57
Specification,"Men’s suit, fabrics of wool – per set",2018 VIII,587.90
Specification,"Men’s suit, fabrics of wool – per set",2018 IX,587.69
Specification,"Men’s suit, fabrics of wool – per set",2018 X,594.00
Specification,"Men’s suit, fabrics of wool – per set",2018 XI,603.69
Specification,"Men’s suit, fabrics of wool – per set",2018 XII,606.31
Specification,"Men’s suit, fabrics of wool – per set",2019 I,591.31
Specification,"Men’s suit, fabrics of wool – per set",2019 II,592.36
Specification,"Men’s suit, fabrics of wool – per set",2019 III,607.68
Specification,"Men’s suit, fabrics of wool – per set",2019 IV,606.17
Specification,"Men’s suit, fabrics of wool – per set",2019 V,601.26
Specification,"Men’s suit, fabrics of wool – per set",2019 VI,601.25
Specification,"Men’s suit, fabrics of wool – per set",2019 VII,600.63
Specification,"Men’s suit, fabrics of wool – per set",2019 VIII,596.52
Specification,"Men’s suit, fabrics of wool – per set",2019 IX,600.49
Specification,"Men’s suit, fabrics of wool – per set",2019 X,606.60
Specification,"Men’s suit, fabrics of wool – per set",2019 XI,611.30
Specification,"Men’s suit, fabrics of wool – per set",2019 XII,606.38
Specification,"Men’s suit, fabrics of wool – per set",2020 I,604.38
Specification,"Men’s suit, fabrics of wool – per set",2020 II,605.67
Specification,"Men’s suit, fabrics of wool – per set",2020 III,606.99
Specification,"Men’s suit, fabrics of wool – per set",2020 IV,603.64
Specification,"Men’s suit, fabrics of wool – per set",2020 V,597.47
Specification,"Men’s suit, fabrics of wool – per set",2020 VI,600.49
Specification,"Men’s suit, fabrics of wool – per set",2020 VII,605.80
Specification,"Men’s suit, fabrics of wool – per set",2020 VIII,604.44
Specification,"Men’s suit, fabrics of wool – per set",2020 IX,614.44
Specification,"Men’s suit, fabrics of wool – per set",2020 X,629.72
Specification,"Men’s suit, fabrics of wool – per set",2020 XI,621.21
Specification,"Men’s suit, fabrics of wool – per set",2020 XII,623.74
Specification,"Men’s suit, fabrics of wool – per set",2021 I,619.08
Specification,"Men’s suit, fabrics of wool – per set",2021 II,621.07
Specification,"Men’s suit, fabrics of wool – per set",2021 III,629.55
Specification,"Men’s suit, fabrics of wool – per set",2021 IV,648.61
Specification,"Men’s suit, fabrics of wool – per set",2021 V,660.27
Specification,"Men’s suit, fabrics of wool – per set",2021 VI,665.23
Specification,"Men’s suit, fabrics of wool – per set",2021 VII,659.21
Specification,"Men’s suit, fabrics of wool – per set",2021 VIII,661.10
Specification,"Men’s suit, fabrics of wool – per set",2021 IX,672.11
Specification,"Men’s suit, fabrics of wool – per set",2021 X,694.06
Specification,"Men’s suit, fabrics of wool – per set",2021 XI,700.65
Specification,"Men’s suit, fabrics of wool – per set",2021 XII,721.53
Specification,"Men’s suit, fabrics of wool – per set",2022 I,716.23
Specification,"Men’s suit, fabrics of wool – per set",2022 II,723.98
Specification,"Men’s suit, fabrics of wool – per set",2022 III,738.05
Specification,"Men’s suit, fabrics of wool – per set",2022 IV,754.12
Specification,"Men’s suit, fabrics of wool – per set",2022 V,775.41
Specification,"Men’s suit, fabrics of wool – per set",2022 VI,780.92
Specification,"Men’s suit, fabrics of wool – per set",2022 VII,764.32
Specification,"Men’s suit, fabrics of wool – per set",2022 VIII,770.71
Specification,"Men’s suit, fabrics of wool – per set",2022 IX,804.33
Specification,"Men’s suit, fabrics of wool – per set",2022 X,807.56
Specification,"Men’s suit, fabrics of wool – per set",2022 XI,804.39
Specification,"Men’s suit, fabrics of wool – per set",2022 XII,817.67
Specification,"Men’s suit, fabrics of wool – per set",2023 I,829.92
Specification,"Men’s suit, fabrics of wool – per set",2023 II,825.15
Specification,"Men’s suit, fabrics of wool – per set",2023 III,842.58
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2010 I,89.16
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2010 II,89.56
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2010 III,89.83
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2010 IV,89.51
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2010 V,90.02
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2010 VI,90.94
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2010 VII,90.62
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2010 VIII,90.59
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2010 IX,91.23
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2010 X,91.58
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2010 XI,92.33
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2010 XII,93.52
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2011 I,84.69
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2011 II,84.18
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2011 III,84.71
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2011 IV,86.26
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2011 V,86.53
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2011 VI,87.38
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2011 VII,86.55
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2011 VIII,86.32
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2011 IX,87.36
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2011 X,88.43
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2011 XI,89.22
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2011 XII,88.83
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2012 I,88.78
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2012 II,88.44
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2012 III,90.21
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2012 IV,90.73
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2012 V,91.29
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2012 VI,90.72
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2012 VII,90.35
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2012 VIII,90.80
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2012 IX,91.59
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2012 X,92.98
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2012 XI,93.09
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2012 XII,93.01
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2013 I,92.78
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2013 II,93.12
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2013 III,93.19
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2013 IV,94.37
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2013 V,94.46
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2013 VI,93.64
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2013 VII,93.34
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2013 VIII,93.36
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2013 IX,93.91
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2013 X,93.52
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2013 XI,94.42
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2013 XII,94.40
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2014 I,93.57
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2014 II,93.93
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2014 III,94.62
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2014 IV,95.13
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2014 V,95.03
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2014 VI,95.19
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2014 VII,94.43
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2014 VIII,94.00
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2014 IX,96.33
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2014 X,97.11
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2014 XI,97.07
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2014 XII,97.95
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2015 I,97.25
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2015 II,97.64
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2015 III,98.37
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2015 IV,98.75
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2015 V,99.45
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2015 VI,98.62
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2015 VII,97.70
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2015 VIII,97.27
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2015 IX,97.81
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2015 X,98.81
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2015 XI,99.98
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2015 XII,100.13
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2016 I,99.39
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2016 II,99.35
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2016 III,99.97
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2016 IV,100.54
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2016 V,100.56
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2016 VI,100.60
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2016 VII,99.73
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2016 VIII,100.32
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2016 IX,101.64
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2016 X,101.74
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2016 XI,101.88
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2016 XII,102.54
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2017 I,101.60
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2017 II,100.87
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2017 III,102.23
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2017 IV,102.92
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2017 V,103.40
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2017 VI,102.74
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2017 VII,102.06
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2017 VIII,101.80
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2017 IX,103.94
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2017 X,104.86
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2017 XI,105.21
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2017 XII,104.43
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2018 I,102.92
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2018 II,102.56
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2018 III,103.65
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2018 IV,103.33
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2018 V,103.35
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2018 VI,102.79
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2018 VII,102.41
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2018 VIII,102.09
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2018 IX,102.96
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2018 X,103.79
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2018 XI,105.23
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2018 XII,105.58
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2019 I,104.00
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2019 II,104.11
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2019 III,107.24
